id,category,subCategory,detailCategory,tags
527,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|조종|운항|면허
528,법규·행정,면허·등록,면허·등록,면허취소|효력정지|조종면허|수상레저안전법|정지|조종
529,법규·행정,면허·등록,면허·등록,실기시험|채점기준|조종면허|면허시험|수상레저안전법|해양경찰청장
530,법규·행정,보험·행정,보험·신고,안전검사|해양경찰서장|시장·군수·구청장|기관|등록
531,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|해양경찰청장|정지|조종|면허
532,법규·행정,면허·등록,면허·등록,면허시험|수상레저안전법|해양경찰청장|기관|면허|면허증
533,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|조종|면허
534,법규·행정,면허·등록,면허·등록,실기시험|조종면허|수상레저안전법|조종|면허|면허증
535,법규·행정,면허·등록,면허·등록,조종면허|면허시험|수상레저안전법|해양경찰서장|정지|조종
536,법규·행정,면허·등록,면허·등록,실기시험|조종면허|면허시험|수상레저안전법|조종|탑승
537,법규·행정,면허·등록,면허·등록,선수|실기시험|조종면허|면허시험|수상레저안전법|해양경찰청장
538,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|조종|면허|면허증|갱신
539,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|조종|면허|면허증|갱신
540,법규·행정,면허·등록,면허·등록,조종면허|면허시험|수상레저안전법|해양경찰청장|조종|면허
541,법규·행정,운항규칙,운항규칙,구명조끼|수상레저안전법|운항규칙|원거리 수상레저활동|운항|과태료
542,법규·행정,보험·행정,보험·신고,수상레저안전법|해양경찰서장|시장·군수·구청장|소방
543,기관 및 정비,기관기초,기관기초,기관|추진기|정비|보관|등록
544,법규·행정,보험·행정,보험·신고,수상레저안전법|해양경찰서장|시장·군수·구청장|시·도지사|등록
545,법규·행정,운항규칙,운항규칙,수상레저안전법|기수
546,기관 및 정비,기관기초,기관기초,소방|전기|기관|추진기|조타|양묘
547,법규·행정,운항규칙,안전장비 착용 지시,수상레저안전법|안전장비|구명조끼|착용지시|행정기관권한
548,법규·행정,보험·행정,보험·신고,해양경찰서장|해양경찰청장|출항|입항|항만법
549,선박 조종술 및 운용,접안,접안·계류,항법|계류|닻|정박|운항|출항
550,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|항법|추월|흘수|출항|입항
551,선박 조종술 및 운용,운항,운항상식,입항|출항|항법|항만법
552,선박 조종술 및 운용,운항,운항상식,모터보트|수상레저안전법|비상|항법|총톤수|운항
553,법규·행정,벌칙·행정처분,벌칙·과태료,위반한 자|항법|출항|입항|승선|벌칙
554,선박 조종술 및 운용,접안,접안·계류,고장|부표|조종|부두|안벽|정박
555,선박 조종술 및 운용,운항,운항상식,입항|출항|항법
556,선박 조종술 및 운용,운항,운항상식,항법|운항|출항|입항|폐기물
557,선박 조종술 및 운용,운항,운항상식,입항|출항|항로표지|조난|항법
558,선박 조종술 및 운용,운항,운항상식,입항|출항|정박구역|피항선|흘수|신고
559,선박 조종술 및 운용,접안,접안·계류,고장|부표|항법|조종|계류|부두
560,선박 조종술 및 운용,운항,운항상식,총톤수|운항|출항|입항|폐기물|신고
561,선박 조종술 및 운용,운항,운항상식,항법|입항|출항
562,선박 조종술 및 운용,운항,운항상식,입항|출항|신고
563,선박 조종술 및 운용,운항,운항상식,피항선|입항|출항|항법|운항
564,선박 조종술 및 운용,접안,접안·계류,고장|부표|항법|조종|계류|부두
565,항해·해도·항로표지,음향신호,음향신호,기적|사이렌|항법|충돌|출항|입항
566,법규·행정,보험·행정,보험·신고,해양경찰청장|항법|출항|입항|신고
567,선박 조종술 및 운용,운항,운항상식,모터보트|정박|출항|입항|항로
568,법규·행정,항만·항로,항만·항로,통항분리|항법|출항|입항|항로|수로
569,항해·해도·항로표지,음향신호,음향신호,화재|기적|사이렌|단음|장음|항법
570,법규·행정,보험·행정,보험·신고,항법|출항|입항|허가
571,법규·행정,운항규칙,운항규칙,항법|출항|입항
572,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|항법|추월|출항|입항|항로
573,법규·행정,보험·행정,보험·신고,소방|항법|출항|입항|허가
574,선박 조종술 및 운용,운항,운항상식,피항선|입항|출항|항법|운항
575,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|항법|추월|흘수|출항|입항
576,선박 조종술 및 운용,운항,운항상식,입항|출항|해양경찰청장
577,선박 조종술 및 운용,운항,운항상식,입항|출항|항법
578,선박 조종술 및 운용,운항,운항상식,해양경찰청장|운항|출항|입항|속력
579,선박 조종술 및 운용,운항,운항상식,항법|정박|출항|입항|항로
580,선박 조종술 및 운용,운항,운항상식,입항|출항|등록
581,항해·해도·항로표지,등화,등화,선미|해상교통안전법|현등|선미등
582,항해·해도·항로표지,등화,등화,해상교통안전법|등화|전주등|흘수
583,선박 조종술 및 운용,조종,조종술,해상교통안전법|전기|망|조종
584,선박 조종술 및 운용,접안,접안·계류,해상교통안전법|표류|계류|안벽|정박
585,항해·해도·항로표지,등화,등화,선미|마스트등|해상교통안전법|등화|현등|선미등
586,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|해양경찰서장|운항|속력
587,항해·해도·항로표지,등화,등화,선미|대수속력|해상교통안전법|등화|현등|선미등
588,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|속력
589,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법|기관|단음|장음|우현
590,항해·해도·항로표지,항법,좁은 수로 항법,좁은수로|항행규칙|항법|우측항행|게류|역조
591,선박 조종술 및 운용,조종,조종술,해상교통안전법|예인|수심|조종|흘수
592,선박 조종술 및 운용,조종,조종술,해상교통안전법|항법|조종
593,법규·행정,항만·항로,항만·항로,해상교통안전법|항로|수로
594,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법
595,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|좌초|수역
596,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|노트
597,법규·행정,항만·항로,항만·항로,해상교통안전법|허가
598,선박 조종술 및 운용,조종,조종술,해상교통안전법|조종|정박
599,법규·행정,해양환경법규,해양환경관리,항로표지|해상교통안전법|해양오염|출항|항로|오염
600,선박 조종술 및 운용,조종,조종술,정지거리|해상교통안전법|정지|조류|바람|해면
601,법규·행정,항만·항로,항만·항로,통항분리|해상교통안전법상|해상교통안전법|수역|횡단
