id,category,subCategory,detailCategory,tags
111,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
112,안전·응급처치,응급처치,일반구급,골절(부목)
113,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
114,안전·응급처치,사고대처,익수자구조,구명환투척법
115,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
116,안전·응급처치,응급처치,일반구급,기도폐쇄(하임리히법)
117,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
118,안전·응급처치,구명설비,구명장비,구명부환·드로우백
119,안전·응급처치,응급처치,일반구급,저체온증·동상
120,안전·응급처치,응급처치,심폐소생술(CPR),자동심장충격기(AED)
121,안전·응급처치,응급처치,일반구급,화상(2도/3도/흡입)
122,안전·응급처치,응급처치,심폐소생술(CPR),자동심장충격기(AED)
123,안전·응급처치,구명설비,구명장비,구명부환·드로우백
124,안전·응급처치,응급처치,일반구급,기도폐쇄(하임리히법)
125,안전·응급처치,응급처치,일반구급,기도폐쇄(하임리히법)
126,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
127,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
128,안전·응급처치,응급처치,일반구급,저체온증·동상
129,안전·응급처치,응급처치,일반구급,화상(2도/3도/흡입)
130,안전·응급처치,구명설비,구명장비,구명조끼(자동/수동)
131,안전·응급처치,응급처치,일반구급,골절(부목)
132,안전·응급처치,응급처치,일반구급,골절(부목)
133,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
134,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
135,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
136,안전·응급처치,응급처치,일반구급,기도폐쇄(하임리히법)
137,안전·응급처치,응급처치,심폐소생술(CPR),자동심장충격기(AED)
138,안전·응급처치,응급처치,심폐소생술(CPR),자동심장충격기(AED)
139,안전·응급처치,구명설비,조난신호,신호홍염·발연부신호
140,안전·응급처치,구명설비,조난신호,로켓낙하산
141,항해·기상,항해,위치선·방위,상대방위
142,항해·기상,항해,위치선·방위,편차·자차
143,법규,수상레저안전법,운항규칙,기상특보활동제한
144,선박운용,조종술,추진과선회,횡거·종거
145,선박운용,선박특성,복원성 및 저항,복원력
146,안전·응급처치,구명설비,구명장비,구명부환·드로우백
147,선박운용,선박특성,구조 및 치수,전폭·전장
148,선박운용,선박특성,구조 및 치수,전폭·전장
149,항해·기상,항해,해도와수로지,해도기호(저질)
150,선박운용,조종술,추진과선회,프로펠러피치
151,법규,해상교통안전법,특수수역항법,제한된시계항법
152,법규,수상레저안전법,운항규칙,야간운항제한
153,법규,해상교통안전법,특수수역항법,제한된시계항법
154,항해·기상,항해,항로표지,IALA부표식
155,항해·기상,항해,위치선·방위,중시선
156,항해·기상,항해,항해계기,레이더플로팅
157,항해·기상,항해,항로표지,측방·방위표지
158,선박운용,조종술,특수수역조종,좁은수로조종
159,항해·기상,항해,항해계기,GPS·DGPS오차
160,항해·기상,항해,항해계기,GPS·DGPS오차
161,항해·기상,항해,항해계기,GPS·DGPS오차
162,선박운용,선박특성,구조 및 치수,흘수·건현
163,선박운용,선박특성,구조 및 치수,트림
164,선박운용,선박특성,복원성 및 저항,복원력
165,선박운용,조종술,추진과선회,배출류·흡입류
166,선박운용,조종술,추진과선회,횡거·종거
167,선박운용,조종술,추진과선회,킥(Kick)
168,항해·기상,항해,항해계기,AIS·VHF
169,항해·기상,항해,항해계기,AIS·VHF
170,항해·기상,항해,항해계기,AIS·VHF
171,항해·기상,항해,항해계기,AIS·VHF
172,항해·기상,항해,위치선·방위,레이더플로팅
173,기관,운전정비,시동 및 운전,시동전점검
174,선박운용,조종술,악천후항법,동조횡동요
175,선박운용,조종술,악천후항법,동조횡동요
176,선박운용,조종술,악천후항법,동조횡동요
177,선박운용,조종술,악천후항법,동조횡동요
178,항해·기상,항해,위치선·방위,편차·자차
179,선박운용,조종술,악천후항법,히브투·라이투
180,선박운용,조종술,이접안·계류,현측접안
181,선박운용,조종술,악천후항법,스커딩
182,안전·응급처치,구명설비,조난신호,로켓낙하산
183,선박운용,조종술,추진과선회,킥(Kick)
184,항해·기상,항해,항해계기,레이더플로팅
185,법규,해상교통안전법,음향·조난신호,단음(1초)·장음(4~6초)
186,법규,해상교통안전법,음향·조난신호,단음(1초)·장음(4~6초)
187,법규,해상교통안전법,음향·조난신호,변침·후진신호
188,선박운용,조종술,특수수역조종,천수효과(스쿼트)
189,항해·기상,항해,항로표지,교량표
190,항해·기상,항해,항로표지,신위험물표지
191,선박운용,조종술,이접안·계류,흡인·배척작용
192,항해·기상,항해,해도와수로지,해도기호(저질)
193,항해·기상,항해,해도와수로지,해도기호(저질)
194,안전·응급처치,사고대처,익수자구조,타력접근법
195,항해·기상,항해,위치선·방위,상대방위
196,항해·기상,항해,위치선·방위,상대방위
197,항해·기상,항해,해도와수로지,항행통보·항로지
198,법규,해상교통안전법,특수수역항법,제한된시계항법
199,항해·기상,항해,위치선·방위,교차방위법
200,선박운용,조종술,악천후항법,브로칭
201,법규,해상교통안전법,항법일반,마주치는상태
202,법규,해상교통안전법,음향·조난신호,무중신호
203,법규,해상교통안전법,음향·조난신호,주의환기(5회)
