sheet,row,scientificName,koreanName,detailGroup
무척추동물,3716,Sewellopontius macrochelatus,,절지동물
무척추동물,3717,Neopontius rectus,,절지동물
무척추동물,3718,Chejupontius variabilis,,절지동물
무척추동물,3720,Acontiophorus estivalis,,절지동물
무척추동물,3721,Acontiophorus enneamerus,,절지동물
무척추동물,3722,Acontiophorus decamerus,,절지동물
무척추동물,3723,Acontiophorus acuminatus,,절지동물
무척추동물,3728,Asterocheres siphonatus,,절지동물
무척추동물,3730,Asterocheres geminus,,절지동물
무척추동물,3731,Asterocheres scutellatus,,절지동물
무척추동물,3732,Asterocheres fici,,절지동물
무척추동물,3733,Asterocheres processus,,절지동물
무척추동물,3734,Asterocheres eurychelatus,,절지동물
무척추동물,3735,Asterocheres serratus,,절지동물
무척추동물,3736,Asterocheres nodulosus,,절지동물
무척추동물,3737,Asterocheres culicis,,절지동물
무척추동물,3738,Asterocheres spiniventer,,절지동물
무척추동물,3739,Asterocheres tridentatus,,절지동물
무척추동물,3740,Asterocheres dokdoicus,,절지동물
무척추동물,3741,Asterocheres tetraodontis,,절지동물
무척추동물,3742,Asterocheres exilis,,절지동물
무척추동물,3743,Asterocheres zodius,,절지동물
무척추동물,3747,Asterocheres banderaae,,절지동물
무척추동물,3757,Scottocheres nesobius,,절지동물
무척추동물,3758,Scottocheres jungi,,절지동물
무척추동물,3759,Thermocheres pacificus,,절지동물
무척추동물,3760,Thermocheres viridis,,절지동물
무척추동물,3761,Rhynchomyzon rostrale,,절지동물
무척추동물,3762,Amalomyzon elongatum,,절지동물
무척추동물,3763,Dokdocheres rotundus,,절지동물
무척추동물,3765,Asteropontoides parvus,,절지동물
무척추동물,3780,Parabrachiella trichiuri,,절지동물
무척추동물,3786,Brachiella thynni,,절지동물
무척추동물,3809,Entomopsyllus aplanatus,,절지동물
무척추동물,3811,Gloiopotes huttoni,,절지동물
무척추동물,3823,Lepeophtheirus sekii,,절지동물
무척추동물,3824,Lepeophtheirus hapalogenyos,,절지동물
무척추동물,3846,Caligus coryphaenae,,절지동물
무척추동물,3849,Caligus fistulariae,,절지동물
무척추동물,3854,Caligus lagocephali,,절지동물
무척추동물,3855,Caligus amblygenitalis,,절지동물
무척추동물,3858,Caligus lichiae,,절지동물
무척추동물,3859,Euryphorus brachypterus,,절지동물
무척추동물,3860,Euryphorus nordmannii,,절지동물
무척추동물,3862,Pseudocaligus longipes,,절지동물
무척추동물,3864,Lernanthropinus sphyraenae,,절지동물
무척추동물,3865,Mitrapus heteropodus,,절지동물
무척추동물,3869,Sphyrion lumpi,,절지동물
무척추동물,3872,Parartotrogus minutus,,절지동물
무척추동물,3873,Stenopontius brevicauda,,절지동물
무척추동물,3874,Stenopontius alatus,,절지동물
무척추동물,3875,Pupiformus apodus,,절지동물
무척추동물,3876,Pupiformus rugosus,,절지동물
무척추동물,3879,Scottolana jasani,,절지동물
무척추동물,3880,Scottolana daecheonensis,,절지동물
무척추동물,3881,Scottolana wonchoeli,,절지동물
무척추동물,3883,Longipedia koreana,,절지동물
무척추동물,3884,Longipedia ulleungensis,,절지동물
무척추동물,3885,Sclerochilus jejuensis,,절지동물
무척추동물,3886,Glacioloxoconcha jisepoensis,,절지동물
무척추동물,3890,Violacytherois sargassicola,,절지동물
무척추동물,3891,Cytherois gajinensis,,절지동물
무척추동물,3894,Hemicytherura kajiyamai,,절지동물
무척추동물,3895,Xestoleberis setouchiensis,,절지동물
무척추동물,3896,Xestoleberis sagamiensis,,절지동물
무척추동물,3897,Xestoleberis hujeongensis,,절지동물
무척추동물,3974,Paramaja kominatoensis,,절지동물
무척추동물,4100,Calcinus vachoni,,절지동물
무척추동물,4231,Cristimenes brucei,,절지동물
무척추동물,4232,Paraclimenes gorgonicola,,절지동물
무척추동물,4234,Mesopontonia verrucimanus,,절지동물
무척추동물,4235,Mesopontonia kimwoni,,절지동물
무척추동물,4236,Pontonides sibogae,,절지동물
무척추동물,4240,Periclimenaeus apomonosi,,절지동물
무척추동물,4241,Periclimenaeus djiboutensis,,절지동물
무척추동물,4242,Periclimenaeus karantina,,절지동물
무척추동물,4316,Anachlorocurtis commensalis,,절지동물
무척추동물,4510,Eurycletodes (Oligocletodes) vadumus,,절지동물
무척추동물,4747,Hediste atoka,,환형동물
무척추동물,4770,Owenia gomsoni,,환형동물
무척추동물,4798,Pharyngocirrus uchidai,,환형동물
무척추동물,4799,Thoracophelia foliformis,,환형동물
무척추동물,4824,Phyllocomus chinensis,,환형동물
무척추동물,4825,Anobothrus nataliae,,환형동물
무척추동물,4828,Ampharete namhaensis,,환형동물
무척추동물,4829,Ampharete koreana,,환형동물
무척추동물,4832,Auchenoplax worsfoldi,,환형동물
무척추동물,4834,Amphicteis chinensis,,환형동물
무척추동물,4850,Polydora uncinata,,환형동물
무척추동물,4858,Spio pigmentata,,환형동물
무척추동물,4870,Prionospio expansa,,환형동물
무척추동물,4873,Prionospio paradisea,,환형동물
무척추동물,4875,Prionospio saccifera,,환형동물
무척추동물,4876,Prionospio bocki,,환형동물
무척추동물,4877,Prionospio multibranchiata,,환형동물
무척추동물,4878,Prionospio membranacea,,환형동물
무척추동물,4881,Rhynchospio aciliata,,환형동물
무척추동물,4882,Rhynchospio glandulosa,,환형동물
무척추동물,4884,Magelona koreana,,환형동물
무척추동물,4885,Magelona longicornis,,환형동물
무척추동물,4886,Magelona lenticulata,,환형동물
무척추동물,4887,Magelona sachalinensis,,환형동물
무척추동물,4894,Tubificoides pollex,,환형동물
무척추동물,4895,Smithsonidrilus exspectatus,,환형동물
무척추동물,4896,Paranais orientalis,,환형동물
무척추동물,4897,Limnodriloides appendiculatus,,환형동물
무척추동물,4898,Heterodrilus koreanus,,환형동물
무척추동물,4899,Heterodrilus pentcheffi,,환형동물
무척추동물,4902,Scolelepis (Scolelepis) rubra,,환형동물
무척추동물,4910,Scolelepis (Parascolelepis) anterobranchiata,,환형동물
무척추동물,4912,Scolelepis (Parascolelepis) brunnea,,환형동물
무척추동물,4949,Capitella teleta,,환형동물
무척추동물,4958,Dasybranchus geojedoensis,,환형동물
무척추동물,4994,Paucibranchia triantennata,,환형동물
무척추동물,5001,Timarete posteria,,환형동물
무척추동물,5008,Neoamphitrite undevigintipes,,환형동물
무척추동물,5021,Conilia sinensis,,선형동물
무척추동물,5022,Desmoscolex (Desmoscolex) globiceps,,선형동물
무척추동물,5023,Desmoscolex (Desmoscolex) rotundicephalus,,선형동물
무척추동물,5024,Desmoscolex (Desmoscolex) jejuensis,,선형동물
무척추동물,5025,Acanthonchus (Seuratiella) tridentatus,,선형동물
무척추동물,5029,Belbolla koreensis,,선형동물
무척추동물,5030,Belbolla wonkimi,,선형동물
무척추동물,5033,Epacanthion hirsutum,,선형동물
무척추동물,5034,Enoploides koreanus,,선형동물
무척추동물,5035,Mesacanthion jejuensis,,선형동물
무척추동물,5036,Oxystomina elongata,,선형동물
무척추동물,5037,Halalaimus gracilis,,선형동물
무척추동물,5038,Oncholaimus tripapillatus,,선형동물
무척추동물,5039,Thalassironus koreanus,,선형동물
무척추동물,5041,Chaetonema longicorpus,,선형동물
무척추동물,5042,Sphaerolaimus gracilis,,선형동물
무척추동물,5043,Terschellingia longicaudata,,선형동물
무척추동물,5044,Pseudosteineria varisetis,,선형동물
무척추동물,5045,Pseudosteineria sinica,,선형동물
무척추동물,5046,Daptonema longiapophysis,,선형동물
무척추동물,5047,Gammanema papillatum,,선형동물
무척추동물,5048,Gammanema okhlopkovi,,선형동물
무척추동물,5049,Latronema obscuramphis,,선형동물
무척추동물,5050,Paracanthonchus yeongjongensis,,선형동물
