일련번호,최대승객수,최대선원수,출입항명,낚시어선영업구역명,낚시어선영업장소명,영업장소특수주소
19016,11,1,지세포항,경상남도  연안일원,경상남도 거제시 일운면 지세포리 지세포항,
19017,4,1,당암항,충청남도  연안일원,충청남도 태안군 남면 당암리 당암항,당암항
19018,3,1,구매항,충청남도  연안일원,충청남도 태안군 고남면 고남리 구매항,구매항
19019,11,1,백사장항,충청남도  연안일원,충청남도 태안군 안면읍 창기리 백사장항,백사장항
19020,7,1,백사장항,충청남도  연안일원,충청남도 태안군 안면읍 창기리 백사장항,백사장항
19021,17,1,의점항,충청남도  연안일원,충청남도 태안군 고남면 고남리 의점항,의점항
19022,19,1,당암항,충청남도  연안일원,충청남도 태안군 남면 당암리 당암항,당암항
19023,11,1,백사장항,충청남도  연안일원,충청남도 태안군 안면읍 창기리 백사장항,
19024,12,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리,
19025,8,1,천리포항,충청남도  연안일원,충청남도 태안군 소원면 의항리,
19026,16,1,모항항,충청남도  연안일원,충청남도 태안군 소원면 모항리,
19027,11,1,통개,충청남도  연안일원,충청남도 태안군 소원면 파도리,
19028,6,1,고남면 가경주항,충청남도  연안일원,,
19029,15,1,,충청남도  연안일원,,
19030,17,1,고남면 가경주항,충청남도  연안일원,,
19031,8,1,학암포항,충청남도  연안일원,,
19032,17,1,마검포항,충청남도  연안일원,충청남도 태안군 남면 신온리,
19033,16,1,백사장항,충청남도  연안일원,충청남도 태안군 안면읍 창기리 백사장항,
19034,11,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리,
19035,11,1,천리포항,충청남도  연안일원,충청남도 태안군 소원면 의항리,
19036,15,1,파도리,충청남도  연안일원,충청남도 태안군 소원면 파도리,
19037,11,1,학암포항,충청남도  연안일원,,
19038,8,1,학암포항,충청남도  연안일원,,
19039,11,1,마검포항,충청남도  연안일원,충청남도 태안군 남면 신온리,
19040,8,1,당암항,충청남도  연안일원,충청남도 태안군 남면 당암리,
19041,9,1,보령시 오천항,충청남도  연안일원,충청남도 보령시 오천면 소성리,
19042,18,1,마검포항,충청남도  연안일원,충청남도 태안군 남면 신온리,
19043,13,1,백사장,충청남도  연안일원,충청남도 태안군 안면읍 창기리,
19044,11,1,안흥신항,충남해상일원,안흥출장소,
