공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
30,POINT (895550.366472451 1947715.79751618),장봉도,비가지(날가지도)부근,6m~11m,모래/ 펄,조금 전·후/ 3물~5물,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶망둑어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기▶우럭 - 릴찌/ 원투,37-31-22.2N,126-19-04.7E,채석장 북갯바위(가막머리)/ 채석장 부근 포인트는 도로 유실로 인하여 차량진입이 힘드므로 등산로를 이용해 진입하여야 한다.,인천광역시 옹진군
31,POINT (893850.725329207 1818895.53539595),원산도·삽시도,물건서부근,15m~19m,모래/ 펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶우럭 - 릴찌/ 원투 ▶주꾸미 - 루어,36-21-41.9N,126-19-00.6E,,충청남도 보령시
32,POINT (898316.2055189911 1918347.21163206),자월도,굴뿌리앞바다,27m~30m,모래,들물/ 날물,▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-15-30.5N,126-21-11.9E,,인천광역시 옹진군
33,POINT (873511.726706892 1920894.67529183),덕적도·소야도,선미도부근,10m~15m,모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 루어/ 릴찌,37-16-42.2N,126-04-23.6E,덕적도 목섬 부근/ 덕적도 정자바위/ 덕적도 큰이마/ 작은이마/ 소야도 대금두 부근/ 소야도 남서쪽 갯바위 포인트는 도보진입만 가능하며 진입로가 험하므로 초보자는 안전에 주의해야한다.,인천광역시 옹진군
34,POINT (874087.8381537661 1913974.91121491),덕적도·소야도,용담갑앞바다,30m~35m,가는모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 루어/ 릴찌,37-12-58.0N,126-04-51.2E,,인천광역시 옹진군
35,POINT (877621.6617394991 1910661.44240225),문갑도·선갑도,문갑도할미취부근,7.8m~10m,가는 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-11-12.2N,126-07-16.5E,,인천광역시 옹진군
36,POINT (866808.598324528 1912169.72599231),백아도·굴업도,굴업도동뿌리앞바다,40m~43m,가는 모래,1~3물/ 조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-11-55.8N,125-59-57.1E,,인천광역시 옹진군
38,POINT (895110.5224044711 1816920.18421103),원산도·삽시도,면삽지앞바다,5.2m~6.1m,모래/ 조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶우럭 - 릴찌/ 원투▶주꾸미 - 루어,36-20-38.3N,126-19-52.1E,,충청남도 보령시
39,POINT (887486.0641537431 1809005.97542139),호도·녹도·외연도,모도부근,13.7m~16m,모래,초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,36-16-18.4N,126-14-50.4E,,충청남도 보령시
40,POINT (895815.222993725 1763281.82646119),말도·방축도,솔푼서부근,15.2m~18m,바위,들물/ 썰물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶도다리 - 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶우럭 - 릴찌/ 원투,35-51-38.0N,126-20-45.9E,,전라북도 군산시
41,POINT (905302.55275462 1755135.633329),선유도·무녀도·장자도·신시도,만서/만자서앞바다,18m~21m,모래/ 펄,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶삼치 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶양태 - 루어/ 릴찌,35-47-17.1N,126-27-07.6E,,전라북도 군산시
42,POINT (883729.755328601 1738622.6554629),왕등도·위도,식도북쪽바다,28m~30m,펄,중썰물~끝썰물,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,35-38-12.9N,126-12-57.0E,,전라북도 부안군
43,POINT (908126.376664617 1569050.23370854),노화도·보길도·소안도,보길도보죽각앞바다,37m~40m,조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-06-38.1N,126-30-13.9E,,전라남도 완도군
44,POINT (974213.62317977 1603600.0164753),거금도,소독도부근,13m~16m,펄,초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,34-25-33.2N,127-13-09.7E,,전라남도 고흥군
45,POINT (979600.675493 1558417.2891485),여서도·거문도,만수용단앞바다,58m~63m,펄,들물/ 날물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-01-06.7N,127-16-44.6E,,전라남도 완도군
