공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
113,POINT (876665.379135974 1741133.74352159),왕등도·위도,상왕등도열도부근,24m~30m,가는 모래/ 펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,35-39-31.3N,126-08-14.8E,,전라북도 부안군
114,POINT (792998.1414985961 1602299.02525445),흑산도·삼태도,삼태도넓은여부근,35m~50m,모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-23-37.5N,125-14-53.6E,,전라남도 신안군
115,POINT (904625.993183308 1574836.34102365),노화도·보길도·소안도,토금도부근,30m~33m,펄/ 조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-09-44.8N,126-27-55.0E,,전라남도 완도군
116,POINT (928904.574272235 1577051.81597694),청산도·대모도,대모도마도말앞바다,31m~35m,펄,4물~사리,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-11-03.7N,126-43-42.5E,대모도 소로지말 갯바위/ 대모도 마도말 갯바위/ 청산도 동촌리 갯바위/ 청산도 고래바위/ 청산도 코바위/ 청산도 노랑바위/ 침몰선 갯바위 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로 진입이 가능하다.,전라남도 완도군
117,POINT (965162.711975341 1603564.79350244),거금도,형제도부근,7m~11m,펄,날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,34-25-31.1N,127-07-15.1E,,전라남도 고흥군
118,POINT (983257.0664742631 1556500.5295011),여서도·거문도,거문도배치바위앞바다,65m~70m,펄/ 모래/ 자갈,들물/ 날물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-00-04.7N,127-19-07.3E,,전라남도 완도군
119,POINT (999264.739755214 1601220.34591242),나로도,외나로도노랑바위앞바다,24m~28m,펄,간조~초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶볼락 - 루어/ 릴찌/ 장대▶숭어 - 릴찌/ 장대/ 훌치기 ▶학공치 - 릴찌/ 장대,34-24-17.1N,127-29-31.2E,,전라남도 고흥군
120,POINT (1060643.65693102 1649623.81311269),사량도,농개도부근,24m~29m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 릴찌/ 루어/ 장대 ▶참돔 - 부력/ 잠수,34-50-22.0N,128-09-47.8E,상사량도 염소자리/ 상사량도 한탄여 부근/ 상사량도 돈지마을 남쪽 곶부리. 상사량도 옥바위 부근/ 하사량도 레이더 기지 부근 갯바위/ 하사량도 말목섬 부근/ 하사량도 모자섬 부근 갯바위 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로 진입이 가능하다.,경상남도 통영시
121,POINT (1061569.15990964 1647963.38894653),사량도,죽도부근,25m~29m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 릴찌/ 루어/ 장대 ▶참돔 - 부력/ 잠수,34-49-27.9N,128-10-23.8E,,경상남도 통영시
122,POINT (1071113.84586428 1624512.09453589),욕지도,가동서부근,27m~31m,펄,5 물~11물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶무늬오징어 - 릴찌/ 에깅 ▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수,34-36-44.4N,128-16-32.4E,,경상남도 통영시
123,POINT (1079201.26721318 1641589.14282263),미륵도,가마도부근,40m~48m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-45-56.6N,128-21-55.7E,,경상남도 통영시
124,POINT (1088303.26352686 1647614.88522768),거제도 북서부,화도부근,16m~18m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶고등어 - 루어/ 릴찌/ 장대▶돌돔 - 릴찌/ 장대/ 원투 ▶보리멸 - 원투▶살오징어 - 에깅 ▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-49-09.5N,128-27-56.0E,,경상남도 거제시
125,POINT (1114372.82712541 1649409.45784915),거제도 북동부,지세포항앞바다,13m~18m,찰흙,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-49-58.4N,128-45-02.9E,,경상남도 거제시
126,POINT (1095651.8400538 1633602.9451231),거제도 남부,대덕도부근,55m~60m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-41-32.3N,128-32-39.5E,오포 흑산태/ 여차 남쪽끝 갯바위/ 함목해수욕장 갯바위/ 해금강 도세치 끝/ 학동 용바위/ 서이말 갯바위 일대 포인트는 등산로 및 진입로가 없어 낚싯배를 이용해야 한다. 해금강 방파제는 진입시 해금강 호텔 부근 산책로를 이용해야 한다.,경상남도 거제시
127,POINT (1102397.47330529 1634319.30453451),거제도 남부,소병태도부근,47m~52m,조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-41-53.2N,128-37-04.9E,,경상남도 거제시
128,POINT (839433.704293541 1960348.81280377),연평도,구지둔턱,5.3~15.9,암,12물~4물,▶광어 - 릴찌/ 원투▶우럭 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶간재미 - 원투▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투,37-37-42.9N,125-40-49.4E,,인천광역시 옹진군
236,POINT (1024452.49306401 1609042.22049584),금오도·안도,구몽암부근,30m~35m,펄,조금 전·후,▶감성돔 -릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 -릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-28-30.0N,127-45-58.6E,,전라남도 여수시
129,POINT (898739.4548031851 1942470.23046188),영종도·용유도,영종도북측수문북서측해상,20.2~26,모래/ 펄,조금 전후,▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶삼치 - 루어/ 릴찌▶붕장어 - 원투,37-28-33.3N,126-21-17.2E,,인천광역시 중구
130,POINT (902960.052456881 1836558.10141388),안면도 북부,죽도부근해상,6.7~9.5,모래/ 펄,초들물~중날물,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶학꽁치 - 릴찌/ 장대▶광어 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶도다리 - 원투,36-31-18.5N,126-24-58.1E,,충청남도 태안군
131,POINT (891791.558732992 1920580.27474652),자월도,묵통도부근,12.5m~14m,모래,들물/ 날물,▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-16-40.3N,126-16-45.9E,떡바위/ 굴뿌리 부근 포인트는 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야 한다.,인천광역시 옹진군
132,POINT (804944.224554391 1634331.97809192),흑산도·삼태도,대장도/소장도부근,30m~45m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-41-05.1N,125-22-14.7E,대흑산도와 삼태도는 산세가 가파르고 인적이 드문 곳이 많으므로 위에 소개된 포인트 이외의 포인트 진입시 안전사고와 고립에 대비해서 진입해야한다.,전라남도 신안군
133,POINT (874816.510873455 1912579.97110564),문갑도·선갑도,문갑도감증탄부근,14.5m~18m,가는 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-12-13.1N,126-05-21.6E,문갑도 한월리해수욕장 갯바위/ 문갑도 할미염뿌리/ 문갑도 진뿌리/ 문갑도 문턱뿌리 부근 포인트는 진입이 어려워 낚싯배 및 등산로를 이용해야하고 갯바위가 협소하므로 초보자는 안전에 주의해야한다.,인천광역시 옹진군
134,POINT (1111692.06662031 1672487.91341975),거제도 북동부,망와도부근,32m~46m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,35-02-28.5N,128-43-28.5E,덕포 초소밑 갯바위/ 양지암 북바위/ 장승포 나래바위 포인트는 차량진입이 힘들어 등산로를 이용해야 하지만 진입로가 좁고 험해 초행자는 낚싯배를 이용해야 한다.,경상남도 거제시
135,POINT (1068974.27142038 1629652.69806733),욕지도,모도부근,37m~46m,펄/ 모래/ 조개껍질,5 물~11물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶무늬오징어 - 릴찌/ 에깅 ▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수,34-39-31.8N,128-15-09.9E,목가동섬/ 노적마을 쇠고락 갯바위/ 낮은목 부근 갯바위/ 삼여(뽕나무강정) 부근 갯바위/ 양판구미 일대/ 고래바위 끝바리/ 총바위 부근 갯바위 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로 진입이 가능하다.,경상남도 통영시
136,POINT (1017608.08557125 1617331.00872377),금오도·안도,용두앞바다,30m~45m,펄,조금 전·후,▶감성돔 -릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 -릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-32-59.6N,127-41-30.9E,금오도 매봉산 직벽/ 금오도 야외음악당 부근/ 금오도 용두 갯바위/ 안도 칼바위/ 안도벼락바위/ 안도 철탑 아래 갯바위 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야하고 보팅 및 낚싯배로 진입이 가능하다.,전라남도 여수시
137,POINT (885565.5433808521 1911415.77622533),이작도·승봉도,벌도와동백도사이,20m~27m,가는 모래,,▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶숭어 - 릴찌/ 장대/ 훌치기▶농어 - 루어/ 릴찌 ▶넙치 - 루어/ 원투 ▶우럭 - 릴찌/ 원투,37-11-40.3N,126-12-38.2E,대이작도 토끼바위 부근/ 대이작도 유곶 부근/ 승봉도 소각장 부근/ 승봉도 촛대바위 포인트는 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야한다.,인천광역시 옹진군
138,POINT (1074691.96646141 1649758.29313841),미륵도,태도부근,12m~17m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-50-23.0N,128-19-0.94E,매암말 부근 갯바위/ 수암말(에름바우)/ 풍화리 남서측 곶부리 부근 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로 진입이 가능하다.,경상남도 통영시
139,POINT (1087489.96893925 1636691.94932381),비진도·매물도,비진도춘복도부근,13m~17m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-43-15.2N,128-27-19.9E,비진도 3/ 4/ 5/ 6/ 7 포인트와 대매물도 동섬치/ 대매물도 촛대바위 부근/ 대매물도 설풍자리/ 소매물도 긴여/ 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로만 진입이 가능하다.,경상남도 통영시
140,POINT (1004948.09103915 1625342.65223215),낭도 부근,홍도남측해상,8.3~12.8m,펄/ 조개껍질,5물~8물/ 조금 전후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 붕장어  -  원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기,34-37-20.198N,127-33-14.320E,,전라남도 고흥군
141,POINT (915449.631746103 1570805.26954824),노화도·보길도·소안도,예작도부근,9.1m~12m,펄/ 모래,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-07-37.3N,126-34-59.1E,,전라남도 완도군
142,POINT (1032466.33517594 1659889.60112563),남해도 북부,차면리방파제북측입표부근,3.3~8.5,펄/ 조개껍질,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-55-59.9N,127-51-19.8E,,경상남도 남해군
143,POINT (1073243.27558075 1640760.96774243),추도 부근,대항승선장부근해상,21~23.5m,암,6물~8물,▶ 볼락 - 릴찌/ 장대/ 루어▶ 우럭 - 릴찌/ 원투▶ 주꾸미 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 감성돔 - 릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔 - 부력/ 잠수,34-45-31.248N,28-18-01.215E,,경상남도 통영시
144,POINT (906793.9558924971 1930555.84072146),무의도,소무의도동측해상,0.8~2.1,펄/ 모래,중들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶노래미 - 루어/ 릴찌/ 장대/ 원투▶붕장어 - 원투▶우럭 - 릴찌/ 원투▶삼치 - 루어/ 릴찌▶주꾸미 - 릴찌/ 원투,37-22-09.8N,126-26-50.5E,,인천광역시 중구
145,POINT (1028493.30762455 1646112.98530074),남해도 북부,서상리앞바다,13.0~17.6,암,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-48-33.1N,127-48-41.5E,,경상남도 남해군
146,POINT (925902.017541964 1507854.05880397),제주도 북부,달서등대부근해상,5.5~8.0,펄/ 모래,들물/썰물,▶참돔 - 릴찌/ 장대/ 원투/ 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶한치 - 루어/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투,33-33-36.4N,126-42-06.2E,,제주특별자치도 제주시
147,POINT (982394.419140683 1564359.12538468),여서도·거문도,거문도반여부근,35m~50m,침니/ 모래,들물/ 날물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-04-19.8N,127-18-33.1E,거문도 코바위/ 거문도 녹산곶 등대 부근/ 거문도 대미지끝 (용무늬 절벽)/ 거문도 송곡단 부근 갯바위/ 거문도 칼바위/ 거문도 산굴산 부근 갯바위 포인트는도보 진입하기가 힘들어 낚싯배를 이용해야하며 협소한 지형조건으로 주의가 필요하다.,전라남도 완도군
148,POINT (927728.214217405 1475778.0167404),제주도 남동부,비안포구앞해상,3.7~10.0,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶다금바리 - 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅,33-16-15.4N,126-43-26.3E,,제주특별자치도 서귀포시
149,POINT (904819.424532189 1892726.52653002),풍도·난지도,소난지도비경도부근,25m~28m,모래,만조/ 간조 전·후,▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶우럭 - 릴찌/ 원투▶붕장어 - 원투,37-01-41.7N,126-25-47.6E,,경기도 안산시
150,POINT (1123379.44103423 1673621.81165867),가덕도,동선새바지에서기도원사이해상,5.0~6.6,암,5물~9물,▶볼락 - 릴찌/ 장대/ 루어▶고등어 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 릴찌/ 장대/ 루어▶학꽁치 - 릴찌/ 장대▶감성돔 - 릴찌/ 장대/ 원투,35-03-00.4N,128-51-10.3E,,부산광역시 강서구
151,POINT (1296344.09176983 1954582.80569864),울릉도,코끼리바위부근해상,14.2~22.5,암,들물~초썰물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶참돔 - 부력/ 잠수,37-32-34.7N,130-51-14.8E,,경상북도 울릉군
152,POINT (922504.633451742 1507049.21363815),제주도 북부,함덕서우봉해변앞해상,6.8~10.0,암,들물/썰물,▶참돔 - 릴찌/ 장대/ 원투/ 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶한치 - 루어/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투,33-33-09.4N,126-39-54.7E,,제주특별자치도 제주시
193,POINT (1149242.65662999 1685234.22627945),수영만 부근,광안대교인근해상,8.2~9.7m,펄/모래,6물~8물,▶ 도다리 - 원투▶ 붕장어 - 원투▶ 학꽁치 - 릴찌/ 장대▶ 무늬오징어 - 에깅▶ 망상어 - 민장대/ 릴찌,35-09-04.635N,129-08-18.427E,,부산광역시 남구
153,POINT (949085.5656177581 1496138.62293787),제주도 동부,성산일출봉앞해상,22.0~48.0,고운모래,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-27-20.9N,126-57-07.7E,,제주특별자치도 서귀포시
154,POINT (945865.127212234 1489466.77214185),제주도 동부,온평리앞해상,10.3~18.0,조개껍질,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-23-43.7N,126-55-04.4E,,제주특별자치도 서귀포시
155,POINT (922528.99220498 1567550.05876082),노화도·보길도·소안도,소안도거망치각앞바다,40m~42m,펄/ 조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-05-53.6N,126-39-36.5E,,전라남도 완도군
156,POINT (946101.224872604 1588577.60931842),신지도,모황도부근,25.5m~33m,펄/ 조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-17-21.6N,126-54-51.7E,,전라남도 완도군
157,POINT (985334.745726421 1559724.88396471),여서도·거문도,거문도오지여앞바다,31m~48m,자갈/ 조개껍질,들물/ 날물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-01-49.5N,127-20-28.1E,,전라남도 완도군
158,POINT (1024886.20825458 1617575.6302688),금오도·안도,문서부근,25m~30m,펄/ 모래,조금 전·후,▶감성돔 -릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 -릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-33-07.0N,127-46-16.5E,,전라남도 여수시
159,POINT (1087476.05858133 1634405.91375052),비진도·매물도,비진도소장서(노루여)부근,39m~52m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-42-01.0N,128-27-18.5E,,경상남도 통영시
160,POINT (894930.8355347791 1834538.08010716),안면도 북부,방포항방파제앞해상,0.6~1.2,모래/ 펄,초들물~중날물,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶학꽁치 - 릴찌/ 장대▶광어 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶도다리 - 원투,36-30-09.9N,126-19-36.3E,,충청남도 태안군
161,POINT (871300.084953702 1854803.53970749),가의도,선착장서축갯바위앞해상,19.8~21.1,펄/ 모래,상관없음,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶고등어 - 루어/ 릴찌/ 장대▶광어 - 릴찌/ 원투▶주꾸미 - 릴찌/ 원투/ 장대▶학꽁치 - 릴찌/ 장대,36-40-57.0N,126-03-34.4E,,충청남도 태안군
162,POINT (876012.960228493 1700826.60213964),송이도,큰내기앞바다,2.0~2.9,암,들물/날물,▶감성돔 - 릴찌/ 장대/ 원투▶민어 - 루어/ 지깅/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶농어 - 루어/ 릴찌▶붕장어 - 원투▶우럭 - 릴찌/ 원투,35-17-43.0N,126-08-11.0E,,전라남도 영광군
163,POINT (930641.933632571 1597655.62421484),완도,대야리앞해상,10.9~18.2,펄,초들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶농어 - 루어/ 릴찌▶감성돔 - 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶붕장어 - 원투,34-22-13.0N,126-44-44.4E,,전라남도 완도군
164,POINT (973721.4473232891 1580115.29253781),초 도,외항도내항도사이,29.5~37,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶뱅어돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 릴찌/ 장대/ 루어▶감성돔 - 릴찌/ 장대/ 원투▶돌돔 - 민장대/ 릴찌/ 원투▶농어 - 루어/ 릴찌,34-12-50.7N,127-12-53.0E,,전라남도 여수시
165,POINT (1032727.78413365 1660555.91703812),남해도 북부,와도부근해상,3.3~8.5,펄/ 조개껍질,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-56-21.5N,127-51-30.2E,,경상남도 남해군
166,POINT (1039984.0219397 1658527.01581842),남해도 북부,상돈도장도사이해상,2.3~3.7,펄/ 조개껍질,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-55-14.7N,127-56-15.9E,,경상남도 남해군
167,POINT (887706.5955345529 1552863.88223419),추자도,다무레미남측해상,9.3~19.6,암,들물/썰물,▶감성돔 - 릴찌/ 장대/ 원투▶돌돔 - 민장대/ 릴찌/ 원투▶자리돔 - 장대/ 카드▶농어 - 루어/ 릴찌▶볼락 - 루어/ 릴찌/ 장대▶참돔 - 부력/ 잠수,33-57-45.5N,126-17-04.5E,,제주특별자치도 제주시
168,POINT (948667.196739058 1504351.67752961),제주도 북동부·우도,독진곶앞해상,27.0~44.9,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-31-47.5N,126-56-49.8E,,제주특별자치도 제주시
169,POINT (889096.8091479191 1469679.48390067),제주도 남서부·가파도·마라도,형제도부근해상,4.2~9.5,암,들물/썰물,▶벵에돔 - 목줄/ 장대/ 잠수▶농어 - 루어/ 릴찌▶자리돔 - 민장대/ 릴찌▶볼락 - 루어/ 릴찌/ 장대▶한치 - 루어/ 원투▶참돔 - 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅,33-12-45.6N,126-18-35.9E,,제주특별자치도 서귀포시
